"","Screen.Name..LED...Vinyl.Signs.","Building.Address","Location.Description","Location","Height","Type","X.","Width","X__Height","SF","Note.Photo","X_.","X_Width","X_Height","X_SF","TOTAL","TOTAL.SF","TOTAL.BY.TYPE"
"7","Toshiba Below Highest Toshba Screen","1 Times Sq","Below Highest Toshiba Screen","Bowtie","Above 65 Ft","LED",1,51,53,2703,"",NA,NA,NA,0,1,2703,""
"8","Toshiba  (Highest Screen)","1 Times Sq","Tallest Point on 1 Times Sq.","Bowtie","Above 65 Ft","LED",1,40,53,2120,"",NA,NA,NA,0,1,2120,""
"11","Walgreens ALL THREE","1 Times Sq","42nd Street Screen","Bowtie","Above 65 Ft","LED",3,NA,NA,16000,"TOTAL",NA,NA,NA,0,3,16000,""
"12","Wrigley's Screen","1500 Broadway","to the right of ABC above Sephora","Bowtie","Under 65 Ft","LED",1,90,35,3150,"IMG_8950",0,0,0,0,1,3150,""
"14","ABC Screen","1500 Broadway","Wrapped around the corner of 44th Street.","Bowtie","Under 65 Ft","LED",1,NA,NA,3685,"IMG_8948/9",NA,NA,NA,0,1,3685,""
"16","Aeropostale","1515 Broadway","Northwest Corner of 45th & 7th","Bowtie","Marquee","LED",1,120,18,2160,"IMG_8940",NA,NA,NA,0,1,2160,""
"20","Marriott Marquis - Bank of America (Broadway @46th)","1535 Broadway","Bank of America Screen","Bowtie","Under 65 Ft","LED",1,40,70,2800,"IMG_8930",NA,NA,NA,0,1,2800,""
"22","Disney","1540 Broadway","East 7th Avenue between 45 & 46","Bowtie","Under 65 Ft","LED",1,NA,NA,2250,"IMG_8932",NA,NA,NA,0,1,2250,""
"23","Forever 21 Main Screen","1540 Broadway","Video Camera Billboard of the Plaza","Bowtie","Under 65 Ft","LED",1,58,38,2204,"IMG_8933",NA,NA,NA,0,1,2204,""
"25","LG Screen","1540 Broadway","Above Planet Holleywood","Bowtie","Above 65 Ft","LED",1,84,50,4200,"Wraps around corner",NA,NA,NA,0,1,4200,""
"26","American Eagle (two screens)","1551 Broadway","Main Screen- Above entrance and Store.","Bowtie","Above 65 Ft","LED",2,NA,NA,15000,"TOTAL",NA,NA,NA,0,2,15000,""
"29","Spectacular Design","1568 Broadway","Southeast corner of 7th and 47th","Bowtie","Above 65 Ft","LED",1,100,50,5000,"IMG_8921",NA,NA,NA,0,1,5000,""
"32","Samsung Screen","2 Times Sq","Above Hyundai, behind TKTS Booth","Bowtie","Above 65 Ft","LED",1,41,65,2665,"",NA,NA,NA,0,1,2665,""
"33","Coca-Cola Screen","2 Times Sq","Above Hyundai Screen","Bowtie","Under 65 Ft","LED",1,44,65,2860,"",NA,NA,NA,0,1,2860,""
"36","Reuters Screen","3 Times Sq","5 LED Screens Wrapped around Corner","Bowtie","Under 65 Ft","LED",5,NA,NA,7674,"",NA,NA,NA,0,5,7674,""
"39","NASDAQ Main Screen","4 Times Sq","Main Screen on Corner of 43rd","Bowtie","Under 65 Ft","LED",1,120,84,10080,"",NA,NA,NA,0,1,10080,""
"42","M&M Screen","1600 Broadway","Corner of 48th Street","Upper Bway","Under 65 Ft","LED",1,40,51,2040,"",NA,NA,NA,0,1,2040,""
"45","Barclays (wrap-around)","745 Seventh Ave","","Upper Sev","Marquee","LED",1,NA,NA,7000,"IMG_8890-3",NA,NA,NA,0,1,7000,"112,376"
"49","Former Marc Ecko space (Spider Man)","217 W 42nd","North side of 42nd facing south","42nd/Below","Under 65 Ft","Vinyl",1,100,40,4000,"IMG_9001-2",NA,NA,NA,0,1,4000,""
"52","Above Dave/Busters (Pacquiao / Moseley)","234 W 42nd St","South side of 42nd facing north","42nd/Below","Under 65 Ft","Vinyl",2,80,50,4000,"IMG_8991-2",NA,NA,NA,0,2,4000,""
"60","Above Red Lobster (Style Network)","5 Times Sq","NW corner of Seventh Ave and 41st St","42nd/Below","Under 65 Ft","Vinyl",2,96,36,3456,"IMG_8968",NA,NA,NA,0,2,3456,""
"62","Next to Champs 42nd St (Nissan)","5 Times Sq","South side of 42nd St near 7th Ave, facing north","42nd/Below","Under 65 Ft","Vinyl",1,96,40,3840,"IMG_8981",NA,NA,NA,0,1,3840,""
"64","Above Ann Taylor Loft wraparound (Brooklyn Bridge)","7 Times Sq","SW corner of Bway and 42nd St","42nd/Below","Under 65 Ft","Vinyl",2,55,45,2475,"IMG_8959/64",NA,NA,NA,0,2,2475,""
"68","Above The Counter wraparound 2 panels (Casio)","7 Times Sq","NW corner of Broadway and 41st St","42nd/Below","Under 65 Ft","Vinyl",2,55,40,2200,"IMG_8966-7",NA,NA,NA,0,2,2200,""
"72","Above subway entrance 7th Ave side (drums)","7 Times Sq","SE corner of 42nd and 7th Ave, facing west","42nd/Below","Under 65 Ft","Vinyl",1,42,50,2100,"IMG_8973",NA,NA,NA,0,1,2100,""
"74","Kia ad","1 Times Sq","Lowest below Sony","Bowtie","Marquee","Vinyl",1,35,118,4130,"IMG_8951",NA,NA,NA,0,1,4130,""
"76","1 Times Sq south of Walgreens middle wraparound Empire City","1 Times Sq","NW corner of Broadway and 42nd, facing east","Bowtie","Under 65 Ft","Vinyl",3,100,40,4000,"IMG_8954/75",NA,NA,NA,0,3,4000,""
"77","1 Times Sq south of Walgreens highest wraparound (Kia)","1 Times Sq","NW corner of Broadway and 42nd, facing east","Bowtie","Above 65 Ft","Vinyl",3,100,52,5200,"IMG_8955/75",NA,NA,NA,0,3,5200,""
"80","Toys 'R' Us Storefront (1514 Broadway)","1514 Broadway","Pirates/Carib","Bowtie","Under 65 Ft","Vinyl",1,30,165,4950,"IMG_9004",NA,NA,NA,0,1,4950,""
"90","Pepsi highest above Swatch","1530 Broadway","2 panels","Bowtie","Above 65 Ft","Vinyl",1,38,54,2052,"IMG_8937",1,38,25,950,2,3002,""
"91","Pepsi above MTV 44 1/2","1530 Broadway","2 panels","Bowtie","Above 65 Ft","Vinyl",2,40,68,2720,"IMG_8937",NA,NA,NA,0,2,2720,""
"92","Marriott Marquis Rotunda - Southpole (Broadway between 45th & 46th)","1535 Broadway","Hanook","Bowtie","","Vinyl",1,31,98,3038,"IMG_8931",NA,NA,NA,0,1,3038,""
"93","Marriott Marquis - North Tower (Broadway @ 46th)","1535 Broadway","UFC","Bowtie","","Vinyl",1,63,44,2772,"IMG_8930",NA,NA,NA,0,1,2772,""
"95","Mariott Marquis (Broadway @ 45th)","1535 Broadway","Kodak vinyl","Bowtie","","Vinyl",1,40,60,2400,"IMG_8931",NA,NA,NA,0,1,2400,""
"96","Marriott Marquis (1535 Broadway between 45th & 46th St)","1535 Broadway","Green Lantern","Bowtie","","Vinyl",1,70,44,3080,"IMG_8938",NA,NA,NA,0,1,3080,""
"97","Marriott Marquis (1535 Broadway @ 46th St)","1535 Broadway","Sportsmanship","Bowtie","","Vinyl",1,66,45,2937,"IMG_8930",NA,NA,NA,0,1,2937,""
"99","Planet Hollwood (1540 Broadway)","1540 Broadway","True Crime","Bowtie","","Vinyl",2,30,68,4080,"IMG_8934/9007",NA,NA,NA,0,2,4080,""
"110","1560 Broadway- Colombian Coffee (Broadway@46th)","1560 Broadway","","Bowtie","","Vinyl",1,75,80,6000,"",NA,NA,NA,0,1,6000,""
"114","Broadway Spire - Argent mortgage company (1567 Broadway @ 47th St)","1567 Broadway","","Bowtie","Above 65 Ft","Vinyl",1,160,20,3200,"",NA,NA,NA,0,1,3200,""
"115","Broadway Spire - W Hotel (1567 Broadway @ 47th)","1567 Broadway","","Bowtie","Above 65 Ft","Vinyl",1,57,55,3135,"",NA,NA,NA,0,1,3135,""
"116","W hotel Times Square (Broadway @ 47th Street)","1567 Broadway","","Bowtie","Above 65 Ft","Vinyl",1,45,52,2340,"",NA,NA,NA,0,1,2340,""
"117","Broadway Spire W Hotel (1567 Broadway btw 46th & 47th)","1567 Broadway","","Bowtie","Above 65 Ft","Vinyl",1,136,57,7752,"",NA,NA,NA,0,1,7752,""
"118","Broadway Spire W Hotel (1567 Broadway btw 46th & 47th)","1567 Broadway","","Bowtie","Above 65 Ft","Vinyl",1,136,57,7752,"",NA,NA,NA,0,1,7752,""
"119","Broadway Spire W Hotel Sean John (1567 Broadway @ 47th)","1567 Broadway","","Bowtie","Above 65 Ft","Vinyl",1,172,54,9288,"",NA,NA,NA,0,1,9288,""
"120","Broadway Spire W Hotel (1567 Broadway btw 46th & 47th)","1567 Broadway","","Bowtie","Above 65 Ft","Vinyl",1,320,47,15040,"",NA,NA,NA,0,1,15040,""
"131","Wraparound on 42nd and Broadway","4 Times Sq","LA Noire","Bowtie","Under 65 Ft","Vinyl",1,80,30,2400,"IMG_8958",NA,NA,NA,0,1,2400,""
"132","Broadway @ 42nd Street","4 Times Square","Izod","Bowtie","Under 65 Ft","Vinyl",1,40,105,4200,"IMG_8956-7",NA,NA,NA,0,1,4200,""
"134","Crowne Plaza (Broadway & 49th)","1601 Broadway","","Upper Bway","Above 65 Ft","Vinyl",1,25,108,2700,"",NA,NA,NA,0,1,2700,""
"135","Above Mama Sbarro's (Amare Stoudemire wraparound)","1610 Broadway","Corner of Broadway and 48th St","Upper Bway","Under 65 Ft","Vinyl",1,100,32,3200,"IMG_8869/8899",NA,NA,NA,0,1,3200,""
"137","Brill Building (Broadway between 49th & 50th)","1619 Broadway","","Upper Bway","","Vinyl",1,45,65,2925,"",NA,NA,NA,0,1,2925,""
"138","Morgan Stanley Building (1626 Broadway btw 49th & 50th)","1626 Broadway","Falling skies","Upper Bway","Under 65 Ft","Vinyl",1,29,125,3625,"IMG_8872/3",NA,NA,NA,0,1,3625,""
"146","Winter Garden Theatre Package (7th Avenue & Broadway Btw 50th & 51st)","1632 Broadway","","Upper Bway","","Vinyl",2,28,48,2688,"",1,28,42,1176,3,3864,""
"148","1650 Broadway (Broadway @ West 50th St)","1650 Broadway","Fast Five","Upper Bway","Under 65 Ft","Vinyl",1,130,92,11960,"IMG_8879-81",1,130,48,6240,2,18200,""
"152","Sheraton (Broadway between 51st and 52nd)","1652 Broadway","","Upper Bway","","Vinyl",1,25,200,5000,"",NA,NA,NA,0,1,5000,""
"153","Above Times Square Church wraparound (blank)","1657 Broadway","","Upper Bway","Above 65 Ft","Vinyl",1,200,15,3000,"IMG_8877-8",NA,NA,NA,0,1,3000,""
"180","Morgan Stanley Building (750 7th Avenue)","750 Seventh Ave","United","Upper Sev","Under 65 Ft","Vinyl",2,25,57,2850,"IMG_8894",1,25,95,2375,3,5225,""
"182","Morgan Stanley Building - Rooftop (750 7th Avenue)","750 Seventh Ave","","Upper Sev","","Vinyl",1,52,78,4056,"",NA,NA,NA,0,1,4056,""
