"","Screen.Name..LED...Vinyl.Signs.","Building.Address","Location.Description","Location","Height","Type","X.","Width","X__Height","SF","Note.Photo","X_.","X_Width","X_Height","X_SF","TOTAL","TOTAL.SF","TOTAL.BY.TYPE"
"11","Walgreens ALL THREE","1 Times Sq","42nd Street Screen","Bowtie","Above 65 Ft","LED",3,NA,NA,16000,"TOTAL",NA,NA,NA,0,3,16000,""
"2","Ripley's Odditorium Screen (3 LED Screens)","234 W 42nd St","Marquee Level","42nd/Below","Marquee","LED",3,NA,NA,44,"",NA,NA,NA,0,3,44,""
"4","CBS/Panasonic","253 W 42nd","Above Cold Stone","42nd/Below","Under 65 Ft","LED",1,24,18,432,"IMG_8994",NA,NA,NA,NA,1,432,""
"19","Kodak Screen","1535 Broadway","Within the Vinyl Billboard for Kodak","Bowtie","Under 65 Ft","LED",1,23,24,552,"",0,0,0,0,1,552,""
"1","Modell's","234 W 42nd St","","42nd/Below","Marquee","LED",1,30,10,300,"IMG_8993",NA,NA,NA,0,1,300,""
"5","Skechers","3 Times Sq","Above 42nd/7th subway entrance","42nd/Below","Under 65 Ft","LED",1,4,10,40,"IMG_8985",NA,NA,NA,0,1,40,""
"104","Above Mamma Mia (Memphis)","1550 Broadway","NE corner of Seventh Ave at 46th St","Bowtie","Above 65 Ft","Vinyl",1,16,30,480,"IMG_8929",NA,NA,NA,0,1,480,""
"93","Marriott Marquis - North Tower (Broadway @ 46th)","1535 Broadway","UFC","Bowtie","","Vinyl",1,63,44,2772,"IMG_8930",NA,NA,NA,0,1,2772,""
"82","MTV Studio (MTV)","1515 Broadway","","Bowtie","Marquee","Vinyl",1,38,12,456,"IMG_9005",NA,NA,NA,0,1,456,""
"71","Above Ann Taylor Loft 7th Ave side (phones)","7 Times Sq","Seventh Ave between 41st-42nd Sts, facing west","42nd/Below","Under 65 Ft","Vinyl",1,36,28,1008,"IMG_8972",NA,NA,NA,0,1,1008,""
